user_id,region_code
002377aca3dd9055bf9ba7a59,
002447cfb0de6f26ecdd2218e,
00245e-4b21-4f64-94f5-288,
00246234964b79bc66f2e1949,
00247a-bda3-4216-9792-58b,
0024fe67784f65042f0b7a47a,
002573-a623-4bb6-a7b6-2e2,
00265c33eb416d1937ffd251c,
00275b-5726-4bcf-a730-00b,
002ad3c3b8f3786d9807b6d09,
002b6e4009ce789464147881a,
002c8e-1946-4758-8f34-9d1,
002cd491afbfb8d9fbcc9b04e,
002d33-5613-4d41-8476-f56,
002dd8f0e51089f43caeb92d0,
002e7a-be1a-42a4-b9fa-565,
002ea6d192073bfbd716c5eb6,
002f84bece1148141d28eba13,
003006-04eb-4ada-828d-23f,
003038-91a8-46f2-a0ea-05c,
0030561f94c25ef442b3bdf97,
003227738f55500c482df1f8e,
0034144646cf0be89e713bad7,
003420-70dd-4dcb-8501-416,
00358b3912f8c08188c2f6b0f,
0035dc-1d76-4072-b40e-5d7,
00375d-ee00-4292-af2b-2fb,
00384e2f6bcb570d2e7fe4a65,
00398e-22c2-4753-9b6c-300,
003add-12c1-4ad3-9eba-d9d,
003af26ffd172d32675c4d833,
003f6a-b8c8-4471-a163-4e8,
004174a79a4430337606b7467,
004499-26ba-42fc-a10a-a51,
0044a4-d8c1-4417-a7d4-28c,
00454b-f66d-4006-af27-991,
00479f4ee87eaa24f0798a7c1,
0048baa5527915a792183437d,
004919-ed42-4201-96fd-6c7,
0049dc641e2bfa6f4d4ab882b,
004b16-3690-4de2-ba5c-432,
004b907a2e19ca9ebd5c8df32,
004d19ccb8b62c2089be32a2d,
004e15f4833aa2204c30b07e0,
0050fd9656e982a4a5af6b91c,
0051c02ac0bbc02a37ecb66c4,
0053561154ff75b6e176aa2c0,
005363b550366aba8a875b9c3,
0055c6-64e8-445b-b70f-7ac,
005624eb034c7509cc2180be5,
005808-b64e-4163-ab48-f63,
005814-2b3b-41d1-8a1d-754,
0058de112735ebd4f9bf25360,
005bb1f049e16630a14fede46,
005da0-b781-4107-8ffd-a33,
005e646c77b401b7c1da4bc82,
005e8c3dabbc79c79935da851,
005f10e0be8cb09baedabc254,
005fb6fed2960831dd64d883f,
005ff0-3882-4f70-be87-f37,
00602e918fcc66a8b242b6466,
0061ef-fc46-44c6-a2c5-3b9,
0062b5-4013-4e11-bbe9-80a,
0067118ff4d088bd78b0f1e1c,
00684f-af18-49d4-bbf8-96a,
006963c94a1ad456dde509188,
00696a9af8f757ad6f27e2feb,
006b1957d5ca6186c70346fed,
006bc7d29cce69052d43cfc5d,
006d09319f9d1a45c72826699,
006da7131087610d3faddf001,
006e99abafb9b9dbeb4087f49,
006fbd6b011c40d4c17f96110,
00708881c1eb83ce3dbfa5aa8,
0070e7c823b06d8fac73643ff,
007154-8bf0-4d68-8f72-ae9,
00728c-3197-480d-a563-fac,
007485-fc6a-479b-b08b-055,
0075dad0808e0c8a850b5a699,
0079664d0ccc9444525f07e09,
007a37-f9d6-44bf-8ae2-9b2,
007a80-b50b-4646-b68b-361,
007a943ce7974274e781a66d9,
007af822269903c445b4848ee,
007b50-746f-4536-9cdf-53f,
007bdc2c35c56e5ba276f9f8d,
007c9861f3e5800ea8057fa1f,
007d6c-5268-4d08-8453-bbe,
007d9541f1ac95af0e586629a,
007fa5b4c76cb2b9962308925,
00807ffe91c11ce08d4a832dc,
0081f48a53e3f94be53085d29,
0082ad-65ac-42a1-846b-3a8,
0083d9351ca6491f28f1f4839,
00856d-8355-4f03-878b-393,
0086b1708b764c630e5ebba60,
008707a67ac54ae959a19d6d0,
0087712010547af27382df1d1,
0088dc64f3d16cc6bc2801d7b,
008a56-dd30-4b5b-b01d-b00,
008ac870005840dbc6b1759de,
008b6f-ee33-439e-bb3b-181,
008b864ecff04dc507621746d,
008d23e25a132e238474178b7,
008d7270c0d8b68ccf4407f33,
008da4b4cb0da1c18aca2a08c,
008dd2a1b250b1c2658609295,
008df332d1823a603cb8ebea5,
008ee3-b2d0-4947-b8cd-505,
008f10-9feb-4b3f-a5af-396,
008fce7bc4278a78fb4608416,
00905dcccf75835466e98f849,
009167-59fa-4213-bd14-6a2,
00924d-0a26-4da7-9412-b60,
00940c5f95f6408b9fa0400f0,
009622-4ad3-488b-8b65-b1c,
0096c9-8b84-43f2-aa88-49a,
